geoName,unloved
Alabama,93
Alaska,0
Arizona,32
Arkansas,77
California,46
Colorado,51
Connecticut,26
Delaware,0
District of Columbia,58
Florida,38
Georgia,40
Hawaii,0
Idaho,0
Illinois,63
Indiana,38
Iowa,53
Kansas,36
Kentucky,100
Louisiana,45
Maine,0
Maryland,31
Massachusetts,35
Michigan,54
Minnesota,32
Mississippi,55
Missouri,63
Montana,0
Nebraska,0
Nevada,94
New Hampshire,0
New Jersey,32
New Mexico,0
New York,44
North Carolina,30
North Dakota,0
Ohio,43
Oklahoma,53
Oregon,62
Pennsylvania,66
Rhode Island,0
South Carolina,65
South Dakota,0
Tennessee,51
Texas,45
Utah,58
Vermont,0
Virginia,36
Washington,20
West Virginia,0
Wisconsin,33
Wyoming,0
