geoName,unloved
Alabama,100
Alaska,0
Arizona,32
Arkansas,92
California,33
Colorado,50
Connecticut,53
Delaware,0
District of Columbia,18
Florida,62
Georgia,55
Hawaii,0
Idaho,0
Illinois,51
Indiana,20
Iowa,49
Kansas,52
Kentucky,54
Louisiana,75
Maine,0
Maryland,37
Massachusetts,36
Michigan,65
Minnesota,44
Mississippi,33
Missouri,31
Montana,0
Nebraska,0
Nevada,50
New Hampshire,0
New Jersey,54
New Mexico,0
New York,48
North Carolina,49
North Dakota,0
Ohio,25
Oklahoma,26
Oregon,52
Pennsylvania,46
Rhode Island,0
South Carolina,64
South Dakota,0
Tennessee,49
Texas,58
Utah,35
Vermont,0
Virginia,66
Washington,49
West Virginia,0
Wisconsin,54
Wyoming,0
