geoName,unloved
Alabama,60
Alaska,0
Arizona,58
Arkansas,75
California,51
Colorado,27
Connecticut,93
Delaware,0
District of Columbia,26
Florida,35
Georgia,55
Hawaii,0
Idaho,0
Illinois,62
Indiana,58
Iowa,79
Kansas,42
Kentucky,47
Louisiana,38
Maine,0
Maryland,41
Massachusetts,50
Michigan,59
Minnesota,36
Mississippi,59
Missouri,36
Montana,0
Nebraska,0
Nevada,100
New Hampshire,0
New Jersey,37
New Mexico,0
New York,40
North Carolina,54
North Dakota,0
Ohio,60
Oklahoma,63
Oregon,39
Pennsylvania,48
Rhode Island,0
South Carolina,72
South Dakota,0
Tennessee,47
Texas,59
Utah,55
Vermont,0
Virginia,59
Washington,52
West Virginia,0
Wisconsin,48
Wyoming,0
