geoName,unloved
Alabama,19
Alaska,0
Arizona,57
Arkansas,38
California,35
Colorado,38
Connecticut,35
Delaware,0
District of Columbia,23
Florida,41
Georgia,30
Hawaii,0
Idaho,0
Illinois,35
Indiana,26
Iowa,100
Kansas,35
Kentucky,52
Louisiana,52
Maine,0
Maryland,49
Massachusetts,36
Michigan,56
Minnesota,42
Mississippi,0
Missouri,32
Montana,0
Nebraska,0
Nevada,49
New Hampshire,0
New Jersey,21
New Mexico,0
New York,40
North Carolina,34
North Dakota,0
Ohio,36
Oklahoma,71
Oregon,13
Pennsylvania,37
Rhode Island,0
South Carolina,52
South Dakota,0
Tennessee,44
Texas,41
Utah,44
Vermont,0
Virginia,43
Washington,50
West Virginia,0
Wisconsin,42
Wyoming,0
