geoName,nightmarish
Alabama,29
Alaska,0
Arizona,9
Arkansas,0
California,13
Colorado,22
Connecticut,14
Delaware,0
District of Columbia,0
Florida,14
Georgia,6
Hawaii,0
Idaho,0
Illinois,9
Indiana,13
Iowa,0
Kansas,0
Kentucky,62
Louisiana,8
Maine,24
Maryland,13
Massachusetts,10
Michigan,11
Minnesota,17
Mississippi,0
Missouri,19
Montana,0
Nebraska,0
Nevada,100
New Hampshire,0
New Jersey,9
New Mexico,0
New York,10
North Carolina,17
North Dakota,0
Ohio,8
Oklahoma,12
Oregon,13
Pennsylvania,37
Rhode Island,54
South Carolina,26
South Dakota,0
Tennessee,6
Texas,11
Utah,11
Vermont,0
Virginia,17
Washington,25
West Virginia,0
Wisconsin,16
Wyoming,0
