geoName,nightmarish
Alabama,58
Alaska,0
Arizona,51
Arkansas,0
California,43
Colorado,45
Connecticut,42
Delaware,0
District of Columbia,0
Florida,45
Georgia,23
Hawaii,0
Idaho,80
Illinois,31
Indiana,30
Iowa,0
Kansas,0
Kentucky,64
Louisiana,0
Maine,0
Maryland,44
Massachusetts,66
Michigan,16
Minnesota,68
Mississippi,0
Missouri,57
Montana,0
Nebraska,0
Nevada,0
New Hampshire,0
New Jersey,44
New Mexico,0
New York,32
North Carolina,36
North Dakota,0
Ohio,15
Oklahoma,38
Oregon,35
Pennsylvania,40
Rhode Island,100
South Carolina,13
South Dakota,0
Tennessee,34
Texas,44
Utah,56
Vermont,0
Virginia,31
Washington,34
West Virginia,0
Wisconsin,42
Wyoming,0
