geoName,nightmarish
Alabama,71
Alaska,0
Arizona,64
Arkansas,0
California,35
Colorado,33
Connecticut,0
Delaware,0
District of Columbia,0
Florida,21
Georgia,51
Hawaii,0
Idaho,0
Illinois,0
Indiana,0
Iowa,0
Kansas,0
Kentucky,67
Louisiana,72
Maine,0
Maryland,100
Massachusetts,0
Michigan,23
Minnesota,30
Mississippi,0
Missouri,0
Montana,0
Nebraska,0
Nevada,0
New Hampshire,0
New Jersey,22
New Mexico,0
New York,20
North Carolina,0
North Dakota,0
Ohio,0
Oklahoma,82
Oregon,46
Pennsylvania,0
Rhode Island,0
South Carolina,0
South Dakota,0
Tennessee,87
Texas,41
Utah,0
Vermont,0
Virginia,47
Washington,24
West Virginia,0
Wisconsin,42
Wyoming,0
