geoName,nightmarish
Alabama,10
Alaska,0
Arizona,14
Arkansas,0
California,13
Colorado,27
Connecticut,0
Delaware,0
District of Columbia,0
Florida,14
Georgia,12
Hawaii,0
Idaho,100
Illinois,4
Indiana,7
Iowa,0
Kansas,0
Kentucky,23
Louisiana,0
Maine,26
Maryland,5
Massachusetts,13
Michigan,10
Minnesota,19
Mississippi,0
Missouri,0
Montana,0
Nebraska,0
Nevada,10
New Hampshire,0
New Jersey,3
New Mexico,0
New York,3
North Carolina,10
North Dakota,0
Ohio,13
Oklahoma,0
Oregon,4
Pennsylvania,19
Rhode Island,0
South Carolina,0
South Dakota,0
Tennessee,16
Texas,20
Utah,12
Vermont,0
Virginia,10
Washington,26
West Virginia,0
Wisconsin,11
Wyoming,0
