geoName,nightmarish
Alabama,43
Alaska,0
Arizona,18
Arkansas,0
California,18
Colorado,42
Connecticut,39
Delaware,0
District of Columbia,0
Florida,37
Georgia,30
Hawaii,0
Idaho,46
Illinois,20
Indiana,29
Iowa,0
Kansas,0
Kentucky,33
Louisiana,0
Maine,100
Maryland,35
Massachusetts,22
Michigan,7
Minnesota,85
Mississippi,0
Missouri,11
Montana,0
Nebraska,0
Nevada,0
New Hampshire,0
New Jersey,39
New Mexico,0
New York,17
North Carolina,38
North Dakota,0
Ohio,20
Oklahoma,17
Oregon,33
Pennsylvania,19
Rhode Island,0
South Carolina,0
South Dakota,0
Tennessee,11
Texas,26
Utah,22
Vermont,0
Virginia,4
Washington,38
West Virginia,0
Wisconsin,66
Wyoming,0
