date,therapy,isPartial
2012-01-01,86,False
2012-01-08,92,False
2012-01-15,92,False
2012-01-22,96,False
2012-01-29,96,False
2012-02-05,95,False
2012-02-12,90,False
2012-02-19,90,False
2012-02-26,97,False
2012-03-04,95,False
2012-03-11,93,False
2012-03-18,94,False
2012-03-25,95,False
2012-04-01,93,False
2012-04-08,93,False
2012-04-15,98,False
2012-04-22,100,False
2012-04-29,95,False
2012-05-06,96,False
2012-05-13,92,False
2012-05-20,92,False
2012-05-27,82,False
2012-06-03,87,False
2012-06-10,86,False
2012-06-17,89,False
2012-06-24,83,False
2012-07-01,76,False
2012-07-08,93,False
2012-07-15,86,False
2012-07-22,88,False
2012-07-29,87,False
2012-08-05,85,False
2012-08-12,86,False
2012-08-19,84,False
2012-08-26,89,False
2012-09-02,92,False
2012-09-09,94,False
2012-09-16,92,False
2012-09-23,93,False
2012-09-30,99,False
2012-10-07,96,False
2012-10-14,98,False
2012-10-21,98,False
2012-10-28,90,False
2012-11-04,89,False
2012-11-11,95,False
2012-11-18,73,False
2012-11-25,95,False
2012-12-02,94,False
2012-12-09,86,False
2012-12-16,74,False
2012-12-23,59,False
2012-12-30,76,False
