date,therapy,isPartial
2016-01-03,87,False
2016-01-10,87,False
2016-01-17,84,False
2016-01-24,89,False
2016-01-31,90,False
2016-02-07,91,False
2016-02-14,88,False
2016-02-21,93,False
2016-02-28,88,False
2016-03-06,90,False
2016-03-13,94,False
2016-03-20,89,False
2016-03-27,94,False
2016-04-03,96,False
2016-04-10,100,False
2016-04-17,97,False
2016-04-24,92,False
2016-05-01,93,False
2016-05-08,93,False
2016-05-15,90,False
2016-05-22,87,False
2016-05-29,78,False
2016-06-05,86,False
2016-06-12,84,False
2016-06-19,81,False
2016-06-26,81,False
2016-07-03,78,False
2016-07-10,84,False
2016-07-17,83,False
2016-07-24,82,False
2016-07-31,84,False
2016-08-07,97,False
2016-08-14,84,False
2016-08-21,88,False
2016-08-28,87,False
2016-09-04,84,False
2016-09-11,94,False
2016-09-18,88,False
2016-09-25,91,False
2016-10-02,88,False
2016-10-09,88,False
2016-10-16,90,False
2016-10-23,92,False
2016-10-30,89,False
2016-11-06,92,False
2016-11-13,98,False
2016-11-20,73,False
2016-11-27,90,False
2016-12-04,92,False
2016-12-11,87,False
2016-12-18,74,False
2016-12-25,70,False
