date,therapy,isPartial
2014-01-05,95,False
2014-01-12,97,False
2014-01-19,95,False
2014-01-26,96,False
2014-02-02,96,False
2014-02-09,93,False
2014-02-16,93,False
2014-02-23,99,False
2014-03-02,94,False
2014-03-09,91,False
2014-03-16,91,False
2014-03-23,91,False
2014-03-30,94,False
2014-04-06,94,False
2014-04-13,97,False
2014-04-20,95,False
2014-04-27,100,False
2014-05-04,95,False
2014-05-11,91,False
2014-05-18,88,False
2014-05-25,84,False
2014-06-01,87,False
2014-06-08,88,False
2014-06-15,87,False
2014-06-22,87,False
2014-06-29,76,False
2014-07-06,90,False
2014-07-13,89,False
2014-07-20,88,False
2014-07-27,84,False
2014-08-03,85,False
2014-08-10,86,False
2014-08-17,88,False
2014-08-24,86,False
2014-08-31,89,False
2014-09-07,95,False
2014-09-14,99,False
2014-09-21,96,False
2014-09-28,93,False
2014-10-05,97,False
2014-10-12,96,False
2014-10-19,96,False
2014-10-26,95,False
2014-11-02,97,False
2014-11-09,95,False
2014-11-16,91,False
2014-11-23,74,False
2014-11-30,93,False
2014-12-07,90,False
2014-12-14,83,False
2014-12-21,59,False
2014-12-28,71,False
