date,therapy,isPartial
2011-01-02,95,False
2011-01-09,86,False
2011-01-16,88,False
2011-01-23,89,False
2011-01-30,90,False
2011-02-06,93,False
2011-02-13,91,False
2011-02-20,90,False
2011-02-27,93,False
2011-03-06,90,False
2011-03-13,89,False
2011-03-20,92,False
2011-03-27,95,False
2011-04-03,95,False
2011-04-10,100,False
2011-04-17,90,False
2011-04-24,91,False
2011-05-01,90,False
2011-05-08,87,False
2011-05-15,92,False
2011-05-22,86,False
2011-05-29,79,False
2011-06-05,85,False
2011-06-12,87,False
2011-06-19,87,False
2011-06-26,85,False
2011-07-03,80,False
2011-07-10,91,False
2011-07-17,88,False
2011-07-24,84,False
2011-07-31,91,False
2011-08-07,87,False
2011-08-14,88,False
2011-08-21,85,False
2011-08-28,87,False
2011-09-04,84,False
2011-09-11,92,False
2011-09-18,94,False
2011-09-25,91,False
2011-10-02,94,False
2011-10-09,93,False
2011-10-16,93,False
2011-10-23,96,False
2011-10-30,95,False
2011-11-06,91,False
2011-11-13,98,False
2011-11-20,74,False
2011-11-27,90,False
2011-12-04,91,False
2011-12-11,81,False
2011-12-18,71,False
2011-12-25,69,False
