date,therapy,isPartial
2015-01-04,88,False
2015-01-11,89,False
2015-01-18,89,False
2015-01-25,89,False
2015-02-01,90,False
2015-02-08,89,False
2015-02-15,86,False
2015-02-22,91,False
2015-03-01,92,False
2015-03-08,93,False
2015-03-15,89,False
2015-03-22,90,False
2015-03-29,92,False
2015-04-05,93,False
2015-04-12,96,False
2015-04-19,91,False
2015-04-26,93,False
2015-05-03,90,False
2015-05-10,89,False
2015-05-17,87,False
2015-05-24,86,False
2015-05-31,88,False
2015-06-07,88,False
2015-06-14,85,False
2015-06-21,92,False
2015-06-28,82,False
2015-07-05,92,False
2015-07-12,88,False
2015-07-19,90,False
2015-07-26,87,False
2015-08-02,90,False
2015-08-09,88,False
2015-08-16,92,False
2015-08-23,93,False
2015-08-30,93,False
2015-09-06,87,False
2015-09-13,93,False
2015-09-20,91,False
2015-09-27,93,False
2015-10-04,97,False
2015-10-11,97,False
2015-10-18,97,False
2015-10-25,99,False
2015-11-01,100,False
2015-11-08,94,False
2015-11-15,95,False
2015-11-22,70,False
2015-11-29,93,False
2015-12-06,92,False
2015-12-13,84,False
2015-12-20,65,False
2015-12-27,73,False
