date,health,isPartial
2012-01-01,79,False
2012-01-08,85,False
2012-01-15,81,False
2012-01-22,84,False
2012-01-29,86,False
2012-02-05,83,False
2012-02-12,78,False
2012-02-19,83,False
2012-02-26,82,False
2012-03-04,82,False
2012-03-11,78,False
2012-03-18,79,False
2012-03-25,85,False
2012-04-01,79,False
2012-04-08,77,False
2012-04-15,80,False
2012-04-22,81,False
2012-04-29,78,False
2012-05-06,79,False
2012-05-13,76,False
2012-05-20,76,False
2012-05-27,72,False
2012-06-03,75,False
2012-06-10,77,False
2012-06-17,77,False
2012-06-24,100,False
2012-07-01,73,False
2012-07-08,80,False
2012-07-15,79,False
2012-07-22,78,False
2012-07-29,77,False
2012-08-05,78,False
2012-08-12,82,False
2012-08-19,81,False
2012-08-26,80,False
2012-09-02,78,False
2012-09-09,84,False
2012-09-16,84,False
2012-09-23,81,False
2012-09-30,81,False
2012-10-07,80,False
2012-10-14,79,False
2012-10-21,79,False
2012-10-28,74,False
2012-11-04,77,False
2012-11-11,80,False
2012-11-18,59,False
2012-11-25,78,False
2012-12-02,77,False
2012-12-09,70,False
2012-12-16,66,False
2012-12-23,50,False
2012-12-30,69,False
