date,health,isPartial
2013-01-06,74,False
2013-01-13,73,False
2013-01-20,68,False
2013-01-27,70,False
2013-02-03,69,False
2013-02-10,67,False
2013-02-17,69,False
2013-02-24,71,False
2013-03-03,70,False
2013-03-10,68,False
2013-03-17,70,False
2013-03-24,68,False
2013-03-31,70,False
2013-04-07,73,False
2013-04-14,68,False
2013-04-21,69,False
2013-04-28,69,False
2013-05-05,70,False
2013-05-12,67,False
2013-05-19,64,False
2013-05-26,64,False
2013-06-02,67,False
2013-06-09,66,False
2013-06-16,65,False
2013-06-23,68,False
2013-06-30,57,False
2013-07-07,67,False
2013-07-14,67,False
2013-07-21,68,False
2013-07-28,68,False
2013-08-04,67,False
2013-08-11,69,False
2013-08-18,72,False
2013-08-25,70,False
2013-09-01,69,False
2013-09-08,73,False
2013-09-15,78,False
2013-09-22,81,False
2013-09-29,100,False
2013-10-06,81,False
2013-10-13,77,False
2013-10-20,81,False
2013-10-27,79,False
2013-11-03,79,False
2013-11-10,81,False
2013-11-17,77,False
2013-11-24,54,False
2013-12-01,72,False
2013-12-08,70,False
2013-12-15,65,False
2013-12-22,53,False
2013-12-29,61,False
