date,health,isPartial
2014-01-05,94,False
2014-01-12,95,False
2014-01-19,88,False
2014-01-26,93,False
2014-02-02,87,False
2014-02-09,89,False
2014-02-16,88,False
2014-02-23,92,False
2014-03-02,90,False
2014-03-09,91,False
2014-03-16,89,False
2014-03-23,98,False
2014-03-30,100,False
2014-04-06,86,False
2014-04-13,86,False
2014-04-20,83,False
2014-04-27,87,False
2014-05-04,86,False
2014-05-11,85,False
2014-05-18,85,False
2014-05-25,79,False
2014-06-01,84,False
2014-06-08,84,False
2014-06-15,81,False
2014-06-22,82,False
2014-06-29,77,False
2014-07-06,85,False
2014-07-13,86,False
2014-07-20,85,False
2014-07-27,87,False
2014-08-03,86,False
2014-08-10,87,False
2014-08-17,91,False
2014-08-24,86,False
2014-08-31,83,False
2014-09-07,88,False
2014-09-14,91,False
2014-09-21,91,False
2014-09-28,95,False
2014-10-05,93,False
2014-10-12,94,False
2014-10-19,93,False
2014-10-26,93,False
2014-11-02,93,False
2014-11-09,94,False
2014-11-16,95,False
2014-11-23,68,False
2014-11-30,92,False
2014-12-07,92,False
2014-12-14,85,False
2014-12-21,58,False
2014-12-28,73,False
