date,health,isPartial
2015-01-04,94,False
2015-01-11,94,False
2015-01-18,94,False
2015-01-25,94,False
2015-02-01,93,False
2015-02-08,96,False
2015-02-15,87,False
2015-02-22,90,False
2015-03-01,90,False
2015-03-08,88,False
2015-03-15,87,False
2015-03-22,91,False
2015-03-29,86,False
2015-04-05,89,False
2015-04-12,89,False
2015-04-19,88,False
2015-04-26,88,False
2015-05-03,85,False
2015-05-10,84,False
2015-05-17,83,False
2015-05-24,81,False
2015-05-31,88,False
2015-06-07,88,False
2015-06-14,84,False
2015-06-21,86,False
2015-06-28,82,False
2015-07-05,90,False
2015-07-12,87,False
2015-07-19,88,False
2015-07-26,89,False
2015-08-02,90,False
2015-08-09,90,False
2015-08-16,91,False
2015-08-23,95,False
2015-08-30,90,False
2015-09-06,86,False
2015-09-13,93,False
2015-09-20,92,False
2015-09-27,91,False
2015-10-04,95,False
2015-10-11,91,False
2015-10-18,93,False
2015-10-25,96,False
2015-11-01,100,False
2015-11-08,95,False
2015-11-15,93,False
2015-11-22,67,False
2015-11-29,95,False
2015-12-06,91,False
2015-12-13,90,False
2015-12-20,60,False
2015-12-27,71,False
