date,health,isPartial
2016-01-03,91,False
2016-01-10,89,False
2016-01-17,88,False
2016-01-24,100,False
2016-01-31,94,False
2016-02-07,88,False
2016-02-14,89,False
2016-02-21,91,False
2016-02-28,88,False
2016-03-06,87,False
2016-03-13,85,False
2016-03-20,85,False
2016-03-27,86,False
2016-04-03,92,False
2016-04-10,91,False
2016-04-17,86,False
2016-04-24,85,False
2016-05-01,83,False
2016-05-08,87,False
2016-05-15,82,False
2016-05-22,81,False
2016-05-29,76,False
2016-06-05,80,False
2016-06-12,77,False
2016-06-19,79,False
2016-06-26,80,False
2016-07-03,73,False
2016-07-10,79,False
2016-07-17,81,False
2016-07-24,81,False
2016-07-31,81,False
2016-08-07,83,False
2016-08-14,82,False
2016-08-21,87,False
2016-08-28,88,False
2016-09-04,80,False
2016-09-11,96,False
2016-09-18,86,False
2016-09-25,85,False
2016-10-02,84,False
2016-10-09,88,False
2016-10-16,89,False
2016-10-23,90,False
2016-10-30,92,False
2016-11-06,83,False
2016-11-13,91,False
2016-11-20,64,False
2016-11-27,88,False
2016-12-04,86,False
2016-12-11,87,False
2016-12-18,68,False
2016-12-25,67,False
