date,health,isPartial
2011-01-02,99,False
2011-01-09,96,False
2011-01-16,99,False
2011-01-23,100,False
2011-01-30,96,False
2011-02-06,97,False
2011-02-13,97,False
2011-02-20,95,False
2011-02-27,99,False
2011-03-06,93,False
2011-03-13,89,False
2011-03-20,93,False
2011-03-27,92,False
2011-04-03,95,False
2011-04-10,95,False
2011-04-17,91,False
2011-04-24,93,False
2011-05-01,90,False
2011-05-08,93,False
2011-05-15,89,False
2011-05-22,91,False
2011-05-29,84,False
2011-06-05,91,False
2011-06-12,90,False
2011-06-19,86,False
2011-06-26,86,False
2011-07-03,81,False
2011-07-10,88,False
2011-07-17,90,False
2011-07-24,88,False
2011-07-31,88,False
2011-08-07,89,False
2011-08-14,90,False
2011-08-21,91,False
2011-08-28,89,False
2011-09-04,87,False
2011-09-11,95,False
2011-09-18,95,False
2011-09-25,95,False
2011-10-02,97,False
2011-10-09,94,False
2011-10-16,92,False
2011-10-23,92,False
2011-10-30,93,False
2011-11-06,89,False
2011-11-13,93,False
2011-11-20,68,False
2011-11-27,91,False
2011-12-04,88,False
2011-12-11,82,False
2011-12-18,68,False
2011-12-25,67,False
