date,death,isPartial
2014-01-05,55,False
2014-01-12,54,False
2014-01-19,52,False
2014-01-26,54,False
2014-02-02,56,False
2014-02-09,59,False
2014-02-16,55,False
2014-02-23,55,False
2014-03-02,51,False
2014-03-09,53,False
2014-03-16,53,False
2014-03-23,55,False
2014-03-30,53,False
2014-04-06,60,False
2014-04-13,60,False
2014-04-20,56,False
2014-04-27,56,False
2014-05-04,55,False
2014-05-11,53,False
2014-05-18,56,False
2014-05-25,58,False
2014-06-01,55,False
2014-06-08,51,False
2014-06-15,50,False
2014-06-22,52,False
2014-06-29,53,False
2014-07-06,55,False
2014-07-13,54,False
2014-07-20,55,False
2014-07-27,50,False
2014-08-03,51,False
2014-08-10,100,False
2014-08-17,57,False
2014-08-24,52,False
2014-08-31,59,False
2014-09-07,53,False
2014-09-14,49,False
2014-09-21,52,False
2014-09-28,51,False
2014-10-05,56,False
2014-10-12,56,False
2014-10-19,56,False
2014-10-26,57,False
2014-11-02,59,False
2014-11-09,55,False
2014-11-16,54,False
2014-11-23,51,False
2014-11-30,61,False
2014-12-07,55,False
2014-12-14,52,False
2014-12-21,49,False
2014-12-28,53,False
