date,death,isPartial
2016-01-03,48,False
2016-01-10,52,False
2016-01-17,50,False
2016-01-24,49,False
2016-01-31,50,False
2016-02-07,49,False
2016-02-14,59,False
2016-02-21,50,False
2016-02-28,49,False
2016-03-06,51,False
2016-03-13,46,False
2016-03-20,51,False
2016-03-27,52,False
2016-04-03,51,False
2016-04-10,51,False
2016-04-17,100,False
2016-04-24,70,False
2016-05-01,56,False
2016-05-08,50,False
2016-05-15,49,False
2016-05-22,47,False
2016-05-29,57,False
2016-06-05,54,False
2016-06-12,49,False
2016-06-19,51,False
2016-06-26,45,False
2016-07-03,47,False
2016-07-10,43,False
2016-07-17,42,False
2016-07-24,44,False
2016-07-31,42,False
2016-08-07,52,False
2016-08-14,40,False
2016-08-21,43,False
2016-08-28,46,False
2016-09-04,53,False
2016-09-11,51,False
2016-09-18,48,False
2016-09-25,54,False
2016-10-02,47,False
2016-10-09,45,False
2016-10-16,45,False
2016-10-23,56,False
2016-10-30,46,False
2016-11-06,42,False
2016-11-13,47,False
2016-11-20,45,False
2016-11-27,50,False
2016-12-04,51,False
2016-12-11,47,False
2016-12-18,44,False
2016-12-25,64,False
