date,death,isPartial
2015-01-04,83,False
2015-01-11,78,False
2015-01-18,100,False
2015-01-25,86,False
2015-02-01,85,False
2015-02-08,84,False
2015-02-15,82,False
2015-02-22,83,False
2015-03-01,81,False
2015-03-08,81,False
2015-03-15,80,False
2015-03-22,82,False
2015-03-29,79,False
2015-04-05,86,False
2015-04-12,84,False
2015-04-19,84,False
2015-04-26,90,False
2015-05-03,89,False
2015-05-10,85,False
2015-05-17,86,False
2015-05-24,82,False
2015-05-31,80,False
2015-06-07,77,False
2015-06-14,76,False
2015-06-21,75,False
2015-06-28,80,False
2015-07-05,82,False
2015-07-12,81,False
2015-07-19,78,False
2015-07-26,82,False
2015-08-02,82,False
2015-08-09,83,False
2015-08-16,82,False
2015-08-23,83,False
2015-08-30,84,False
2015-09-06,83,False
2015-09-13,84,False
2015-09-20,81,False
2015-09-27,85,False
2015-10-04,87,False
2015-10-11,82,False
2015-10-18,79,False
2015-10-25,88,False
2015-11-01,80,False
2015-11-08,97,False
2015-11-15,89,False
2015-11-22,73,False
2015-11-29,82,False
2015-12-06,88,False
2015-12-13,79,False
2015-12-20,77,False
2015-12-27,88,False
