date,opinion,isPartial
2011-01-02,73,False
2011-01-09,79,False
2011-01-16,80,False
2011-01-23,84,False
2011-01-30,83,False
2011-02-06,89,False
2011-02-13,87,False
2011-02-20,91,False
2011-02-27,94,False
2011-03-06,85,False
2011-03-13,80,False
2011-03-20,92,False
2011-03-27,86,False
2011-04-03,92,False
2011-04-10,89,False
2011-04-17,86,False
2011-04-24,86,False
2011-05-01,91,False
2011-05-08,86,False
2011-05-15,83,False
2011-05-22,75,False
2011-05-29,77,False
2011-06-05,72,False
2011-06-12,66,False
2011-06-19,72,False
2011-06-26,71,False
2011-07-03,65,False
2011-07-10,66,False
2011-07-17,66,False
2011-07-24,69,False
2011-07-31,65,False
2011-08-07,64,False
2011-08-14,66,False
2011-08-21,66,False
2011-08-28,73,False
2011-09-04,78,False
2011-09-11,85,False
2011-09-18,89,False
2011-09-25,84,False
2011-10-02,88,False
2011-10-09,86,False
2011-10-16,88,False
2011-10-23,93,False
2011-10-30,93,False
2011-11-06,87,False
2011-11-13,92,False
2011-11-20,68,False
2011-11-27,93,False
2011-12-04,100,False
2011-12-11,82,False
2011-12-18,59,False
2011-12-25,47,False
