date,opinion,isPartial
2016-01-03,79,False
2016-01-10,75,False
2016-01-17,79,False
2016-01-24,89,False
2016-01-31,87,False
2016-02-07,90,False
2016-02-14,92,False
2016-02-21,93,False
2016-02-28,92,False
2016-03-06,91,False
2016-03-13,85,False
2016-03-20,79,False
2016-03-27,75,False
2016-04-03,83,False
2016-04-10,87,False
2016-04-17,80,False
2016-04-24,83,False
2016-05-01,80,False
2016-05-08,82,False
2016-05-15,71,False
2016-05-22,67,False
2016-05-29,57,False
2016-06-05,58,False
2016-06-12,59,False
2016-06-19,59,False
2016-06-26,61,False
2016-07-03,57,False
2016-07-10,60,False
2016-07-17,61,False
2016-07-24,60,False
2016-07-31,55,False
2016-08-07,52,False
2016-08-14,50,False
2016-08-21,56,False
2016-08-28,63,False
2016-09-04,63,False
2016-09-11,73,False
2016-09-18,73,False
2016-09-25,79,False
2016-10-02,76,False
2016-10-09,84,False
2016-10-16,84,False
2016-10-23,88,False
2016-10-30,89,False
2016-11-06,100,False
2016-11-13,92,False
2016-11-20,62,False
2016-11-27,88,False
2016-12-04,87,False
2016-12-11,80,False
2016-12-18,54,False
2016-12-25,42,False
