date,opinion,isPartial
2015-01-04,74,False
2015-01-11,77,False
2015-01-18,79,False
2015-01-25,88,False
2015-02-01,88,False
2015-02-08,80,False
2015-02-15,79,False
2015-02-22,86,False
2015-03-01,86,False
2015-03-08,87,False
2015-03-15,82,False
2015-03-22,86,False
2015-03-29,72,False
2015-04-05,76,False
2015-04-12,79,False
2015-04-19,86,False
2015-04-26,89,False
2015-05-03,83,False
2015-05-10,77,False
2015-05-17,76,False
2015-05-24,67,False
2015-05-31,72,False
2015-06-07,66,False
2015-06-14,62,False
2015-06-21,100,False
2015-06-28,79,False
2015-07-05,61,False
2015-07-12,63,False
2015-07-19,66,False
2015-07-26,58,False
2015-08-02,57,False
2015-08-09,58,False
2015-08-16,61,False
2015-08-23,72,False
2015-08-30,75,False
2015-09-06,74,False
2015-09-13,81,False
2015-09-20,77,False
2015-09-27,79,False
2015-10-04,92,False
2015-10-11,79,False
2015-10-18,85,False
2015-10-25,88,False
2015-11-01,89,False
2015-11-08,84,False
2015-11-15,94,False
2015-11-22,65,False
2015-11-29,92,False
2015-12-06,96,False
2015-12-13,74,False
2015-12-20,45,False
2015-12-27,47,False
