date,opinion,isPartial
2012-01-01,70,False
2012-01-08,79,False
2012-01-15,73,False
2012-01-22,82,False
2012-01-29,85,False
2012-02-05,92,False
2012-02-12,85,False
2012-02-19,81,False
2012-02-26,88,False
2012-03-04,88,False
2012-03-11,77,False
2012-03-18,82,False
2012-03-25,83,False
2012-04-01,82,False
2012-04-08,74,False
2012-04-15,81,False
2012-04-22,83,False
2012-04-29,84,False
2012-05-06,81,False
2012-05-13,71,False
2012-05-20,69,False
2012-05-27,66,False
2012-06-03,66,False
2012-06-10,61,False
2012-06-17,62,False
2012-06-24,96,False
2012-07-01,64,False
2012-07-08,63,False
2012-07-15,61,False
2012-07-22,67,False
2012-07-29,60,False
2012-08-05,56,False
2012-08-12,59,False
2012-08-19,62,False
2012-08-26,71,False
2012-09-02,77,False
2012-09-09,83,False
2012-09-16,89,False
2012-09-23,86,False
2012-09-30,96,False
2012-10-07,86,False
2012-10-14,90,False
2012-10-21,93,False
2012-10-28,88,False
2012-11-04,100,False
2012-11-11,87,False
2012-11-18,63,False
2012-11-25,82,False
2012-12-02,84,False
2012-12-09,92,False
2012-12-16,71,False
2012-12-23,43,False
2012-12-30,55,False
