date,opinion,isPartial
2014-01-05,68,False
2014-01-12,82,False
2014-01-19,75,False
2014-01-26,82,False
2014-02-02,79,False
2014-02-09,85,False
2014-02-16,80,False
2014-02-23,89,False
2014-03-02,79,False
2014-03-09,83,False
2014-03-16,81,False
2014-03-23,82,False
2014-03-30,87,False
2014-04-06,87,False
2014-04-13,79,False
2014-04-20,80,False
2014-04-27,88,False
2014-05-04,84,False
2014-05-11,80,False
2014-05-18,67,False
2014-05-25,67,False
2014-06-01,66,False
2014-06-08,61,False
2014-06-15,61,False
2014-06-22,63,False
2014-06-29,67,False
2014-07-06,62,False
2014-07-13,62,False
2014-07-20,64,False
2014-07-27,65,False
2014-08-03,61,False
2014-08-10,64,False
2014-08-17,69,False
2014-08-24,65,False
2014-08-31,70,False
2014-09-07,83,False
2014-09-14,82,False
2014-09-21,82,False
2014-09-28,85,False
2014-10-05,84,False
2014-10-12,87,False
2014-10-19,89,False
2014-10-26,90,False
2014-11-02,100,False
2014-11-09,93,False
2014-11-16,99,False
2014-11-23,73,False
2014-11-30,91,False
2014-12-07,93,False
2014-12-14,77,False
2014-12-21,43,False
2014-12-28,47,False
