date,opinion,isPartial
2013-01-06,74,False
2013-01-13,79,False
2013-01-20,79,False
2013-01-27,82,False
2013-02-03,81,False
2013-02-10,80,False
2013-02-17,85,False
2013-02-24,88,False
2013-03-03,86,False
2013-03-10,79,False
2013-03-17,86,False
2013-03-24,77,False
2013-03-31,78,False
2013-04-07,90,False
2013-04-14,87,False
2013-04-21,91,False
2013-04-28,88,False
2013-05-05,85,False
2013-05-12,79,False
2013-05-19,70,False
2013-05-26,64,False
2013-06-02,64,False
2013-06-09,65,False
2013-06-16,61,False
2013-06-23,80,False
2013-06-30,62,False
2013-07-07,63,False
2013-07-14,63,False
2013-07-21,62,False
2013-07-28,57,False
2013-08-04,58,False
2013-08-11,63,False
2013-08-18,66,False
2013-08-25,74,False
2013-09-01,80,False
2013-09-08,85,False
2013-09-15,84,False
2013-09-22,90,False
2013-09-29,95,False
2013-10-06,96,False
2013-10-13,94,False
2013-10-20,100,False
2013-10-27,96,False
2013-11-03,100,False
2013-11-10,95,False
2013-11-17,100,False
2013-11-24,69,False
2013-12-01,99,False
2013-12-08,95,False
2013-12-15,85,False
2013-12-22,51,False
2013-12-29,54,False
