date,weak,isPartial
2012-01-01,71,False
2012-01-08,71,False
2012-01-15,82,False
2012-01-22,87,False
2012-01-29,85,False
2012-02-05,94,False
2012-02-12,88,False
2012-02-19,99,False
2012-02-26,96,False
2012-03-04,87,False
2012-03-11,94,False
2012-03-18,96,False
2012-03-25,97,False
2012-04-01,95,False
2012-04-08,92,False
2012-04-15,98,False
2012-04-22,100,False
2012-04-29,94,False
2012-05-06,91,False
2012-05-13,91,False
2012-05-20,86,False
2012-05-27,86,False
2012-06-03,83,False
2012-06-10,83,False
2012-06-17,81,False
2012-06-24,85,False
2012-07-01,79,False
2012-07-08,82,False
2012-07-15,76,False
2012-07-22,84,False
2012-07-29,76,False
2012-08-05,82,False
2012-08-12,83,False
2012-08-19,83,False
2012-08-26,90,False
2012-09-02,92,False
2012-09-09,95,False
2012-09-16,95,False
2012-09-23,100,False
2012-09-30,98,False
2012-10-07,95,False
2012-10-14,95,False
2012-10-21,94,False
2012-10-28,89,False
2012-11-04,88,False
2012-11-11,94,False
2012-11-18,78,False
2012-11-25,92,False
2012-12-02,95,False
2012-12-09,89,False
2012-12-16,69,False
2012-12-23,69,False
2012-12-30,76,False
