date,weak,isPartial
2015-01-04,78,False
2015-01-11,83,False
2015-01-18,78,False
2015-01-25,89,False
2015-02-01,87,False
2015-02-08,85,False
2015-02-15,84,False
2015-02-22,96,False
2015-03-01,95,False
2015-03-08,93,False
2015-03-15,91,False
2015-03-22,97,False
2015-03-29,99,False
2015-04-05,100,False
2015-04-12,100,False
2015-04-19,94,False
2015-04-26,93,False
2015-05-03,94,False
2015-05-10,91,False
2015-05-17,87,False
2015-05-24,88,False
2015-05-31,77,False
2015-06-07,80,False
2015-06-14,71,False
2015-06-21,78,False
2015-06-28,77,False
2015-07-05,78,False
2015-07-12,78,False
2015-07-19,82,False
2015-07-26,81,False
2015-08-02,75,False
2015-08-09,69,False
2015-08-16,71,False
2015-08-23,74,False
2015-08-30,88,False
2015-09-06,87,False
2015-09-13,94,False
2015-09-20,93,False
2015-09-27,100,False
2015-10-04,96,False
2015-10-11,91,False
2015-10-18,93,False
2015-10-25,91,False
2015-11-01,90,False
2015-11-08,85,False
2015-11-15,91,False
2015-11-22,76,False
2015-11-29,86,False
2015-12-06,94,False
2015-12-13,88,False
2015-12-20,70,False
2015-12-27,72,False
