date,weak,isPartial
2014-01-05,75,False
2014-01-12,76,False
2014-01-19,77,False
2014-01-26,80,False
2014-02-02,86,False
2014-02-09,78,False
2014-02-16,86,False
2014-02-23,92,False
2014-03-02,93,False
2014-03-09,92,False
2014-03-16,100,False
2014-03-23,94,False
2014-03-30,91,False
2014-04-06,97,False
2014-04-13,92,False
2014-04-20,89,False
2014-04-27,97,False
2014-05-04,89,False
2014-05-11,87,False
2014-05-18,84,False
2014-05-25,78,False
2014-06-01,73,False
2014-06-08,74,False
2014-06-15,73,False
2014-06-22,71,False
2014-06-29,79,False
2014-07-06,77,False
2014-07-13,75,False
2014-07-20,78,False
2014-07-27,75,False
2014-08-03,78,False
2014-08-10,70,False
2014-08-17,70,False
2014-08-24,79,False
2014-08-31,79,False
2014-09-07,79,False
2014-09-14,79,False
2014-09-21,84,False
2014-09-28,81,False
2014-10-05,87,False
2014-10-12,88,False
2014-10-19,84,False
2014-10-26,85,False
2014-11-02,83,False
2014-11-09,88,False
2014-11-16,88,False
2014-11-23,78,False
2014-11-30,82,False
2014-12-07,86,False
2014-12-14,79,False
2014-12-21,62,False
2014-12-28,71,False
