geoName,grouchy
Alabama,41
Alaska,0
Arizona,48
Arkansas,51
California,36
Colorado,44
Connecticut,52
Delaware,83
District of Columbia,43
Florida,42
Georgia,57
Hawaii,100
Idaho,61
Illinois,47
Indiana,77
Iowa,31
Kansas,75
Kentucky,35
Louisiana,35
Maine,0
Maryland,66
Massachusetts,48
Michigan,49
Minnesota,36
Mississippi,47
Missouri,48
Montana,0
Nebraska,84
Nevada,53
New Hampshire,49
New Jersey,43
New Mexico,15
New York,40
North Carolina,66
North Dakota,0
Ohio,57
Oklahoma,51
Oregon,60
Pennsylvania,56
Rhode Island,0
South Carolina,58
South Dakota,0
Tennessee,61
Texas,51
Utah,71
Vermont,0
Virginia,65
Washington,78
West Virginia,94
Wisconsin,57
Wyoming,0
