geoName,grouchy
Alabama,14
Alaska,0
Arizona,19
Arkansas,16
California,20
Colorado,21
Connecticut,13
Delaware,29
District of Columbia,22
Florida,14
Georgia,18
Hawaii,51
Idaho,21
Illinois,15
Indiana,17
Iowa,6
Kansas,15
Kentucky,24
Louisiana,22
Maine,0
Maryland,17
Massachusetts,18
Michigan,13
Minnesota,7
Mississippi,32
Missouri,14
Montana,0
Nebraska,11
Nevada,100
New Hampshire,6
New Jersey,11
New Mexico,19
New York,14
North Carolina,21
North Dakota,0
Ohio,14
Oklahoma,26
Oregon,15
Pennsylvania,17
Rhode Island,0
South Carolina,19
South Dakota,0
Tennessee,10
Texas,20
Utah,13
Vermont,0
Virginia,17
Washington,30
West Virginia,10
Wisconsin,14
Wyoming,0
