geoName,grouchy
Alabama,66
Alaska,0
Arizona,66
Arkansas,44
California,45
Colorado,47
Connecticut,55
Delaware,47
District of Columbia,49
Florida,42
Georgia,52
Hawaii,100
Idaho,86
Illinois,42
Indiana,75
Iowa,93
Kansas,64
Kentucky,62
Louisiana,38
Maine,0
Maryland,61
Massachusetts,45
Michigan,50
Minnesota,41
Mississippi,84
Missouri,56
Montana,0
Nebraska,77
Nevada,68
New Hampshire,74
New Jersey,59
New Mexico,42
New York,43
North Carolina,56
North Dakota,0
Ohio,47
Oklahoma,64
Oregon,50
Pennsylvania,42
Rhode Island,0
South Carolina,58
South Dakota,0
Tennessee,54
Texas,49
Utah,73
Vermont,0
Virginia,43
Washington,59
West Virginia,89
Wisconsin,63
Wyoming,0
