geoName,grouchy
Alabama,56
Alaska,0
Arizona,33
Arkansas,43
California,50
Colorado,54
Connecticut,42
Delaware,100
District of Columbia,40
Florida,54
Georgia,54
Hawaii,69
Idaho,84
Illinois,60
Indiana,57
Iowa,41
Kansas,33
Kentucky,58
Louisiana,55
Maine,0
Maryland,53
Massachusetts,53
Michigan,46
Minnesota,58
Mississippi,55
Missouri,66
Montana,0
Nebraska,57
Nevada,76
New Hampshire,55
New Jersey,44
New Mexico,65
New York,33
North Carolina,62
North Dakota,0
Ohio,38
Oklahoma,61
Oregon,35
Pennsylvania,44
Rhode Island,0
South Carolina,45
South Dakota,0
Tennessee,57
Texas,68
Utah,61
Vermont,0
Virginia,40
Washington,88
West Virginia,77
Wisconsin,31
Wyoming,0
