geoName,grouchy
Alabama,16
Alaska,0
Arizona,45
Arkansas,77
California,28
Colorado,24
Connecticut,35
Delaware,22
District of Columbia,33
Florida,31
Georgia,40
Hawaii,100
Idaho,34
Illinois,26
Indiana,27
Iowa,43
Kansas,35
Kentucky,36
Louisiana,37
Maine,0
Maryland,30
Massachusetts,29
Michigan,27
Minnesota,18
Mississippi,28
Missouri,28
Montana,0
Nebraska,34
Nevada,29
New Hampshire,54
New Jersey,27
New Mexico,54
New York,25
North Carolina,39
North Dakota,0
Ohio,26
Oklahoma,45
Oregon,18
Pennsylvania,34
Rhode Island,0
South Carolina,43
South Dakota,0
Tennessee,35
Texas,37
Utah,22
Vermont,0
Virginia,32
Washington,51
West Virginia,54
Wisconsin,26
Wyoming,0
