date,oppressed,isPartial
2014-01-05,62,False
2014-01-12,76,False
2014-01-19,56,False
2014-01-26,63,False
2014-02-02,71,False
2014-02-09,87,False
2014-02-16,72,False
2014-02-23,100,False
2014-03-02,84,False
2014-03-09,65,False
2014-03-16,66,False
2014-03-23,68,False
2014-03-30,81,False
2014-04-06,74,False
2014-04-13,72,False
2014-04-20,69,False
2014-04-27,83,False
2014-05-04,79,False
2014-05-11,81,False
2014-05-18,53,False
2014-05-25,52,False
2014-06-01,39,False
2014-06-08,45,False
2014-06-15,44,False
2014-06-22,35,False
2014-06-29,39,False
2014-07-06,48,False
2014-07-13,44,False
2014-07-20,48,False
2014-07-27,41,False
2014-08-03,36,False
2014-08-10,57,False
2014-08-17,79,False
2014-08-24,61,False
2014-08-31,76,False
2014-09-07,77,False
2014-09-14,75,False
2014-09-21,62,False
2014-09-28,89,False
2014-10-05,81,False
2014-10-12,64,False
2014-10-19,82,False
2014-10-26,69,False
2014-11-02,85,False
2014-11-09,87,False
2014-11-16,94,False
2014-11-23,95,False
2014-11-30,91,False
2014-12-07,98,False
2014-12-14,71,False
2014-12-21,37,False
2014-12-28,40,False
