date,oppressed,isPartial
2012-01-01,37,False
2012-01-08,35,False
2012-01-15,77,False
2012-01-22,74,False
2012-01-29,74,False
2012-02-05,79,False
2012-02-12,84,False
2012-02-19,60,False
2012-02-26,85,False
2012-03-04,87,False
2012-03-11,59,False
2012-03-18,61,False
2012-03-25,89,False
2012-04-01,64,False
2012-04-08,78,False
2012-04-15,56,False
2012-04-22,78,False
2012-04-29,73,False
2012-05-06,59,False
2012-05-13,68,False
2012-05-20,56,False
2012-05-27,65,False
2012-06-03,49,False
2012-06-10,41,False
2012-06-17,42,False
2012-06-24,42,False
2012-07-01,38,False
2012-07-08,40,False
2012-07-15,56,False
2012-07-22,54,False
2012-07-29,48,False
2012-08-05,47,False
2012-08-12,37,False
2012-08-19,58,False
2012-08-26,76,False
2012-09-02,64,False
2012-09-09,85,False
2012-09-16,72,False
2012-09-23,74,False
2012-09-30,80,False
2012-10-07,100,False
2012-10-14,69,False
2012-10-21,73,False
2012-10-28,71,False
2012-11-04,84,False
2012-11-11,75,False
2012-11-18,82,False
2012-11-25,79,False
2012-12-02,89,False
2012-12-09,85,False
2012-12-16,39,False
2012-12-23,35,False
2012-12-30,33,False
