date,oppressed,isPartial
2015-01-04,47,False
2015-01-11,63,False
2015-01-18,54,False
2015-01-25,63,False
2015-02-01,53,False
2015-02-08,49,False
2015-02-15,54,False
2015-02-22,57,False
2015-03-01,64,False
2015-03-08,58,False
2015-03-15,49,False
2015-03-22,54,False
2015-03-29,51,False
2015-04-05,47,False
2015-04-12,68,False
2015-04-19,70,False
2015-04-26,100,False
2015-05-03,69,False
2015-05-10,54,False
2015-05-17,52,False
2015-05-24,47,False
2015-05-31,51,False
2015-06-07,49,False
2015-06-14,34,False
2015-06-21,54,False
2015-06-28,40,False
2015-07-05,32,False
2015-07-12,45,False
2015-07-19,35,False
2015-07-26,37,False
2015-08-02,38,False
2015-08-09,33,False
2015-08-16,36,False
2015-08-23,47,False
2015-08-30,87,False
2015-09-06,66,False
2015-09-13,55,False
2015-09-20,62,False
2015-09-27,52,False
2015-10-04,71,False
2015-10-11,76,False
2015-10-18,70,False
2015-10-25,66,False
2015-11-01,62,False
2015-11-08,79,False
2015-11-15,65,False
2015-11-22,50,False
2015-11-29,68,False
2015-12-06,74,False
2015-12-13,47,False
2015-12-20,29,False
2015-12-27,31,False
