date,oppressed,isPartial
2011-01-02,45,False
2011-01-09,67,False
2011-01-16,65,False
2011-01-23,50,False
2011-01-30,63,False
2011-02-06,52,False
2011-02-13,70,False
2011-02-20,100,False
2011-02-27,78,False
2011-03-06,50,False
2011-03-13,63,False
2011-03-20,66,False
2011-03-27,78,False
2011-04-03,84,False
2011-04-10,59,False
2011-04-17,76,False
2011-04-24,65,False
2011-05-01,65,False
2011-05-08,62,False
2011-05-15,44,False
2011-05-22,40,False
2011-05-29,45,False
2011-06-05,36,False
2011-06-12,28,False
2011-06-19,32,False
2011-06-26,35,False
2011-07-03,43,False
2011-07-10,36,False
2011-07-17,44,False
2011-07-24,36,False
2011-07-31,42,False
2011-08-07,33,False
2011-08-14,30,False
2011-08-21,18,False
2011-08-28,47,False
2011-09-04,49,False
2011-09-11,45,False
2011-09-18,85,False
2011-09-25,71,False
2011-10-02,63,False
2011-10-09,73,False
2011-10-16,66,False
2011-10-23,57,False
2011-10-30,79,False
2011-11-06,56,False
2011-11-13,57,False
2011-11-20,49,False
2011-11-27,78,False
2011-12-04,72,False
2011-12-11,69,False
2011-12-18,35,False
2011-12-25,22,False
