date,oppressed,isPartial
2013-01-06,64,False
2013-01-13,58,False
2013-01-20,79,False
2013-01-27,82,False
2013-02-03,66,False
2013-02-10,86,False
2013-02-17,75,False
2013-02-24,79,False
2013-03-03,100,False
2013-03-10,65,False
2013-03-17,84,False
2013-03-24,66,False
2013-03-31,87,False
2013-04-07,72,False
2013-04-14,71,False
2013-04-21,95,False
2013-04-28,87,False
2013-05-05,84,False
2013-05-12,68,False
2013-05-19,50,False
2013-05-26,72,False
2013-06-02,57,False
2013-06-09,66,False
2013-06-16,46,False
2013-06-23,55,False
2013-06-30,49,False
2013-07-07,54,False
2013-07-14,61,False
2013-07-21,45,False
2013-07-28,41,False
2013-08-04,44,False
2013-08-11,31,False
2013-08-18,47,False
2013-08-25,67,False
2013-09-01,62,False
2013-09-08,64,False
2013-09-15,92,False
2013-09-22,78,False
2013-09-29,67,False
2013-10-06,78,False
2013-10-13,82,False
2013-10-20,86,False
2013-10-27,88,False
2013-11-03,74,False
2013-11-10,95,False
2013-11-17,95,False
2013-11-24,53,False
2013-12-01,82,False
2013-12-08,96,False
2013-12-15,58,False
2013-12-22,31,False
2013-12-29,39,False
