geoName,unconcerned
Alabama,100
Alaska,0
Arizona,15
Arkansas,0
California,30
Colorado,47
Connecticut,0
Delaware,0
District of Columbia,0
Florida,48
Georgia,43
Hawaii,0
Idaho,0
Illinois,45
Indiana,43
Iowa,0
Kansas,17
Kentucky,42
Louisiana,40
Maine,0
Maryland,8
Massachusetts,21
Michigan,38
Minnesota,42
Mississippi,0
Missouri,50
Montana,0
Nebraska,0
Nevada,0
New Hampshire,0
New Jersey,24
New Mexico,0
New York,33
North Carolina,40
North Dakota,0
Ohio,31
Oklahoma,0
Oregon,41
Pennsylvania,42
Rhode Island,0
South Carolina,23
South Dakota,0
Tennessee,22
Texas,37
Utah,0
Vermont,0
Virginia,32
Washington,24
West Virginia,0
Wisconsin,18
Wyoming,0
