geoName,unconcerned
Alabama,100
Alaska,0
Arizona,0
Arkansas,0
California,21
Colorado,69
Connecticut,0
Delaware,0
District of Columbia,0
Florida,43
Georgia,0
Hawaii,0
Idaho,0
Illinois,9
Indiana,0
Iowa,0
Kansas,0
Kentucky,0
Louisiana,0
Maine,0
Maryland,23
Massachusetts,14
Michigan,0
Minnesota,0
Mississippi,0
Missouri,56
Montana,0
Nebraska,0
Nevada,0
New Hampshire,0
New Jersey,16
New Mexico,0
New York,9
North Carolina,15
North Dakota,0
Ohio,29
Oklahoma,0
Oregon,65
Pennsylvania,12
Rhode Island,0
South Carolina,45
South Dakota,0
Tennessee,30
Texas,29
Utah,0
Vermont,0
Virginia,33
Washington,0
West Virginia,0
Wisconsin,88
Wyoming,0
