geoName,unconcerned
Alabama,100
Alaska,0
Arizona,0
Arkansas,0
California,22
Colorado,0
Connecticut,0
Delaware,0
District of Columbia,0
Florida,22
Georgia,30
Hawaii,0
Idaho,0
Illinois,30
Indiana,0
Iowa,0
Kansas,0
Kentucky,29
Louisiana,0
Maine,0
Maryland,0
Massachusetts,10
Michigan,42
Minnesota,72
Mississippi,0
Missouri,31
Montana,0
Nebraska,0
Nevada,0
New Hampshire,0
New Jersey,50
New Mexico,0
New York,25
North Carolina,40
North Dakota,0
Ohio,10
Oklahoma,0
Oregon,0
Pennsylvania,40
Rhode Island,0
South Carolina,0
South Dakota,0
Tennessee,17
Texas,27
Utah,0
Vermont,0
Virginia,30
Washington,11
West Virginia,0
Wisconsin,37
Wyoming,0
