geoName,unconcerned
Alabama,26
Alaska,0
Arizona,24
Arkansas,0
California,21
Colorado,12
Connecticut,0
Delaware,0
District of Columbia,0
Florida,40
Georgia,26
Hawaii,0
Idaho,0
Illinois,32
Indiana,17
Iowa,0
Kansas,45
Kentucky,100
Louisiana,22
Maine,0
Maryland,14
Massachusetts,17
Michigan,42
Minnesota,25
Mississippi,0
Missouri,27
Montana,0
Nebraska,0
Nevada,0
New Hampshire,0
New Jersey,25
New Mexico,0
New York,24
North Carolina,26
North Dakota,0
Ohio,41
Oklahoma,0
Oregon,11
Pennsylvania,44
Rhode Island,0
South Carolina,21
South Dakota,0
Tennessee,29
Texas,26
Utah,0
Vermont,0
Virginia,27
Washington,10
West Virginia,0
Wisconsin,57
Wyoming,0
