geoName,unconcerned
Alabama,50
Alaska,0
Arizona,65
Arkansas,0
California,55
Colorado,37
Connecticut,0
Delaware,0
District of Columbia,0
Florida,35
Georgia,71
Hawaii,0
Idaho,0
Illinois,53
Indiana,69
Iowa,0
Kansas,72
Kentucky,77
Louisiana,48
Maine,0
Maryland,41
Massachusetts,42
Michigan,23
Minnesota,100
Mississippi,0
Missouri,39
Montana,0
Nebraska,0
Nevada,0
New Hampshire,0
New Jersey,69
New Mexico,0
New York,59
North Carolina,37
North Dakota,0
Ohio,47
Oklahoma,0
Oregon,25
Pennsylvania,40
Rhode Island,0
South Carolina,48
South Dakota,0
Tennessee,38
Texas,55
Utah,0
Vermont,0
Virginia,23
Washington,9
West Virginia,0
Wisconsin,39
Wyoming,0
