geoName,unconcerned
Alabama,0
Alaska,0
Arizona,36
Arkansas,0
California,54
Colorado,0
Connecticut,0
Delaware,0
District of Columbia,0
Florida,44
Georgia,35
Hawaii,0
Idaho,0
Illinois,37
Indiana,52
Iowa,0
Kansas,0
Kentucky,72
Louisiana,61
Maine,0
Maryland,36
Massachusetts,42
Michigan,23
Minnesota,0
Mississippi,0
Missouri,38
Montana,0
Nebraska,0
Nevada,0
New Hampshire,0
New Jersey,100
New Mexico,0
New York,40
North Carolina,70
North Dakota,0
Ohio,68
Oklahoma,0
Oregon,0
Pennsylvania,19
Rhode Island,0
South Carolina,0
South Dakota,0
Tennessee,91
Texas,52
Utah,0
Vermont,0
Virginia,0
Washington,0
West Virginia,0
Wisconsin,0
Wyoming,0
