date,gain,isPartial
2012-01-01,73,False
2012-01-08,72,False
2012-01-15,75,False
2012-01-22,75,False
2012-01-29,76,False
2012-02-05,77,False
2012-02-12,73,False
2012-02-19,77,False
2012-02-26,78,False
2012-03-04,79,False
2012-03-11,78,False
2012-03-18,78,False
2012-03-25,74,False
2012-04-01,83,False
2012-04-08,81,False
2012-04-15,84,False
2012-04-22,82,False
2012-04-29,79,False
2012-05-06,79,False
2012-05-13,80,False
2012-05-20,82,False
2012-05-27,79,False
2012-06-03,82,False
2012-06-10,75,False
2012-06-17,75,False
2012-06-24,75,False
2012-07-01,77,False
2012-07-08,78,False
2012-07-15,80,False
2012-07-22,76,False
2012-07-29,76,False
2012-08-05,71,False
2012-08-12,72,False
2012-08-19,74,False
2012-08-26,74,False
2012-09-02,76,False
2012-09-09,75,False
2012-09-16,92,False
2012-09-23,100,False
2012-09-30,85,False
2012-10-07,74,False
2012-10-14,77,False
2012-10-21,75,False
2012-10-28,72,False
2012-11-04,76,False
2012-11-11,74,False
2012-11-18,69,False
2012-11-25,75,False
2012-12-02,77,False
2012-12-09,75,False
2012-12-16,74,False
2012-12-23,71,False
2012-12-30,80,False
