date,gain,isPartial
2014-01-05,77,False
2014-01-12,84,False
2014-01-19,81,False
2014-01-26,84,False
2014-02-02,78,False
2014-02-09,79,False
2014-02-16,82,False
2014-02-23,86,False
2014-03-02,83,False
2014-03-09,84,False
2014-03-16,82,False
2014-03-23,82,False
2014-03-30,87,False
2014-04-06,86,False
2014-04-13,84,False
2014-04-20,86,False
2014-04-27,84,False
2014-05-04,85,False
2014-05-11,100,False
2014-05-18,98,False
2014-05-25,88,False
2014-06-01,83,False
2014-06-08,81,False
2014-06-15,79,False
2014-06-22,78,False
2014-06-29,81,False
2014-07-06,79,False
2014-07-13,81,False
2014-07-20,78,False
2014-07-27,77,False
2014-08-03,82,False
2014-08-10,74,False
2014-08-17,76,False
2014-08-24,74,False
2014-08-31,74,False
2014-09-07,73,False
2014-09-14,74,False
2014-09-21,74,False
2014-09-28,75,False
2014-10-05,73,False
2014-10-12,75,False
2014-10-19,74,False
2014-10-26,74,False
2014-11-02,81,False
2014-11-09,72,False
2014-11-16,69,False
2014-11-23,61,False
2014-11-30,67,False
2014-12-07,72,False
2014-12-14,72,False
2014-12-21,62,False
2014-12-28,70,False
