date,gain,isPartial
2015-01-04,92,False
2015-01-11,89,False
2015-01-18,95,False
2015-01-25,93,False
2015-02-01,93,False
2015-02-08,90,False
2015-02-15,91,False
2015-02-22,97,False
2015-03-01,97,False
2015-03-08,100,False
2015-03-15,95,False
2015-03-22,95,False
2015-03-29,95,False
2015-04-05,94,False
2015-04-12,100,False
2015-04-19,97,False
2015-04-26,92,False
2015-05-03,96,False
2015-05-10,93,False
2015-05-17,95,False
2015-05-24,91,False
2015-05-31,92,False
2015-06-07,87,False
2015-06-14,87,False
2015-06-21,87,False
2015-06-28,89,False
2015-07-05,91,False
2015-07-12,89,False
2015-07-19,90,False
2015-07-26,85,False
2015-08-02,90,False
2015-08-09,86,False
2015-08-16,85,False
2015-08-23,86,False
2015-08-30,82,False
2015-09-06,83,False
2015-09-13,87,False
2015-09-20,85,False
2015-09-27,87,False
2015-10-04,89,False
2015-10-11,86,False
2015-10-18,85,False
2015-10-25,88,False
2015-11-01,88,False
2015-11-08,85,False
2015-11-15,83,False
2015-11-22,73,False
2015-11-29,84,False
2015-12-06,84,False
2015-12-13,81,False
2015-12-20,70,False
2015-12-27,82,False
